id	中文名	prompt_en
enemy_ww1_11	一战·野战炮班	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 1 European theater, mud and khaki, early steel helmets. crew-served weapons emplacement or artillery piece with sandbags and metal, firing stance implied. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww1_14	一战·运输车改	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 1 European theater, mud and khaki, early steel helmets. military unit or vehicle matching the Chinese label theme. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww1_15	一战·碉堡分队	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 1 European theater, mud and khaki, early steel helmets. crew-served weapons emplacement or artillery piece with sandbags and metal, firing stance implied. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww1_17	一战·征召兵A队	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 1 European theater, mud and khaki, early steel helmets. infantry squad or fireteam in era-appropriate uniforms and rifles, dynamic combat pose. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww1_20	一战·炊事班分队	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 1 European theater, mud and khaki, early steel helmets. infantry squad or fireteam in era-appropriate uniforms and rifles, dynamic combat pose. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww1_21	一战·志愿兵B队	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 1 European theater, mud and khaki, early steel helmets. infantry squad or fireteam in era-appropriate uniforms and rifles, dynamic combat pose. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww1_24	一战·医疗兵小组	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 1 European theater, mud and khaki, early steel helmets. infantry squad or fireteam in era-appropriate uniforms and rifles, dynamic combat pose. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww1_25	一战·突击队连	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 1 European theater, mud and khaki, early steel helmets. military unit or vehicle matching the Chinese label theme. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww1_26	一战·侦察车型	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 1 European theater, mud and khaki, early steel helmets. infantry squad or fireteam in era-appropriate uniforms and rifles, dynamic combat pose. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww2_01	二战·步兵班排	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 2, olive drab and field gray mix, steel helmets, weathered equipment. infantry squad or fireteam in era-appropriate uniforms and rifles, dynamic combat pose. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww2_04	二战·后勤班组	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 2, olive drab and field gray mix, steel helmets, weathered equipment. infantry squad or fireteam in era-appropriate uniforms and rifles, dynamic combat pose. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww2_05	二战·伞兵分队	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 2, olive drab and field gray mix, steel helmets, weathered equipment. infantry squad or fireteam in era-appropriate uniforms and rifles, dynamic combat pose. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww2_07	二战·反坦克炮炮位	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 2, olive drab and field gray mix, steel helmets, weathered equipment. crew-served weapons emplacement or artillery piece with sandbags and metal, firing stance implied. Heroic collectible card key art, one clear silhouette, high detail.
enemy_ww2_08	二战·医疗队分队	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, World War 2, olive drab and field gray mix, steel helmets, weathered equipment. infantry squad or fireteam in era-appropriate uniforms and rifles, dynamic combat pose. Heroic collectible card key art, one clear silhouette, high detail.
