id	中文名	prompt_en
boss_cold_mig	米格-29	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, Soviet MiG-29 fighter jet in flight gray camouflage, cold war era, dynamic banking pose, missile pylons, no roundels with readable text
boss_future_nexus	风暴核心	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, massive futuristic storm command core, floating armored sphere with lightning conduits and dark metal plates, sci-fi energy glow violet and cyan
boss_modern_command	指挥中枢	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, modern military command bunker entrance with reinforced blast doors and radar dome, concrete and steel, subtle desert tan
boss_ww1_av7	圣沙蒙坦克	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, French Saint-Chamond WW1 rhomboid tank, long hull with field gun in casemate, muddy olive drab metal, trench mud splashes
boss_ww2_kingtiger	虎王坦克	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, German King Tiger heavy tank WW2, angular hull and wide tracks, dunkelgelb yellow-ochre paint, commander cupola closed
elite_cold_spetsnaz	特种部队	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, Cold War Soviet Spetsnaz squad in berets and load bearing gear, AK rifles, winter forest palette, tactical stance
elite_cold_t72	T-72坦克	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, Soviet T-72 main battle tank cold war, low turret rounded cheeks, green khaki camouflage, hull front angle
elite_future_colossus	巨神机甲	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, colossal bipedal mech walker futuristic, heavy armor plates, glowing reactor vents, urban ruins implied only as silhouette blur
elite_future_spectre	幽灵特工	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, sleek stealth operative in futuristic nano-armor suit, visor glow, suppressed rifle, dark blue and graphite tones
elite_modern_abrams	M1A2坦克	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, US M1 Abrams main battle tank modern, desert tan composite armor, long 120mm gun, desert heat haze minimal
elite_modern_apache	阿帕奇直升机	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, AH-64 Apache attack helicopter modern, tandem cockpit, rocket pods, olive drab and gray, hovering pose
elite_modern_delta	三角洲部队	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, US special forces operators modern, plate carriers and helmets, carbines, multicam pattern, tight squad wedge
elite_ww1_armored	装甲车	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, WW1 armored car with spoked wheels and riveted hull, machine gun turret, khaki paint, dirt road dust
elite_ww1_storm	暴风突击队	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, WW1 German Sturmtruppen squad with steel helmets, MP18 style submachine guns, trench coats, storming pose
elite_ww2_panther	黑豹坦克	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, German Panther medium tank WW2, sloped glacis, dark yellow and red oxide primer edges, forest edge lighting
elite_ww2_paratrooper	伞兵精英	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, WW2 US paratroopers with M1 helmets and jump jackets, Thompson and Garand, scattered gear, heroic upward angle
enemy_cold_ak	苏军步兵	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, Soviet motorized rifle squad cold war, AK-74 style rifles, green uniforms, BMP in soft background blur very subtle
enemy_cold_btr	BTR装甲车	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, BTR-80 wheeled APC cold war, eight wheels, turret with autocannon, green camouflage, mud splatter on hull
enemy_cold_m113	M113装甲车	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, M113 tracked APC aluminum hull, US olive drab, simple box shape, commander hatch open with figure silhouette only
enemy_cold_m60	美军步兵	game trading card illustration, single centered subject, clean studio lighting, slightly low three-quarter view, sharp focus, rich material detail, 1024x1024 square composition, seamless pure white background #FFFFFF, no text, no letters, no numbers, no watermark, no logos, no typography, no captions, no speech bubbles, no readable insignia or labels on image, US infantry fireteam cold war, M16 rifles, woodland BDUs, sandbag firing position minimal
